customer_review,NPS Score
"Oporto to Bangkok via Istanbul. Flying to Bangkok to see my father before his operation was going smoothly until I arrived in Istanbul. The flight was originally delayed by 1 hour 50 minutes and kept increasing until we took off almost 5 hours behind schedule. The ground staff had no answer to my questions as to why the flight was late other than it happens often with the flights. Food was served but by the time I reached the front of the line it was finished and I was told 'sorry'. When the flight eventually took off, I was in a seat that was broken and wouldn't recline and the air conditioning was not working properly. I barely slept the entire trip due to stressing about not reaching the hospital on time, and we landed over 3 hours 10 minutes late, with a further 35 minutes before the doors even opened. I am so disappointed as the entire trip from Istanbul onwards was stressful, uncomfortable and there was a total lack of care. The return leg was much better, but I had to make it with a heavy heart. The cabin crew are friendly enough and the food is great, but will I ever fly with them again? I doubt it very much.",Detractor
" Singapore to Belgrade via Istanbul. I've used this airline several times, and each time it's been a pretty bad experience, mostly due to the service which ranges from average to terrible. On my most recent flight, my baggage (and that of many other passengers) arrived completely wet. Everything inside was wet and dirty which caused a great inconvenience for my whole trip. I was transferring through Istanbul and I guess it was raining there, but it was clear that the baggage had been treated inappropriately and carelessly. This is one airline I'll be avoiding at all costs in the future!",Detractor
"Istanbul to Zurich. I chose an aisle seat 8D during my online check-in (around 16h prior to departure) and got a confirmation email. At the airport, the airline kiosk did not issue my boarding pass and instead forwarded me to a normal check-in. I had to wait 40 minutes in line and then the agent told me that for â€œOperational Reasons"" my seat has been changed to 25D. This is happening to me the second time this month. Turkish Airlines quality is severely deteriorating. Other passengers had the same problem and there were people arguing about their changed seats.",Detractor
"Worst trip ever. First it's never on time, the crew barely speak English. Arriving at Istanbul the airport is literally a shopping mall with all staff who don't speak neither English nor French only Turkish! Good luck finding you gate on your own. The return trip was a nightmare, the flight from Kenya was late and believe or not when I arrived at Istanbul the clerk at the desk said I missed my connection flight, although I had 20 minutes before it's departure but of course not as they don't use tunnels, only buses at Istanbul.",Detractor
Nevsehir to Istanbul 20-Jun flight delayed for one hour. Very insufficient legroom. Light snack served on this 1 hr and 15 minutes flight. Could have been better if dinner was served rather.,Detractor
"The aircraft was modern with excellent inflight entertainment options (latest movies were available). Food was tasty, and beverage options were great. Even during meals sandwiches and cookies were available. The toilet always has hand cream as well which was useful for our drying skin during the 11+ hour flight. The staff were friendly, and Turkish Airlines always gives out 'care packages' on long haul flights which contains chapstick, slippers, cream, socks, eye cover, earplugs, toothpaste and toothbrush. The airline's magazine is a good read. My flight was delayed by almost 4 hours so I did not reach my connection, had to spend the night in Istanbul. Turkish Airlines provided hotel, shuttle, dinner as they rescheduled me for the next day. On top of this, when I later contacted them about compensation, they fairly acknowledged the lengthy delay in getting me to my final destination and provided compensation as per current flight regulations. The Istanbul Ataturk airport also has plenty of shopping and eating options, smoking area. Overall my experience has been very positive with Turkish Airlines, despite the above mentioned hiccup which they fairly rectified. I would and definitely will fly with them again.",Promoter
"Toulouse to Singapore via Istanbul. Worst airline ever. Before boarding the plane, I chose to have my seats near the exits as I was 6 months pregnant. However, when I boarded the plane, I was told by the guy sitting next to me that I was not supposed to be seated beside him as he told the air steward that he wanted my seat for him and his son. I sat down anyway, as I was not told of it. 5 mins later, the air steward told me to change my seats to accommodate the father and son, and I was moved all the way to the back of the plane. Best part, I have requested for special meals to be served, however, they did not update my special meal request even when they were the one who forced me to have my seats changed. So Turkish is hinting me that you can paid for 2 seats and request for 3? Mind you, it was the seats in the first few rows. Tried sending in a few emails, however, their replies are generic and they takes years to reply.",Detractor
"Miami to Bucharest return via Istanbul. One adult and two children were travelling. Check-in at Turkish counter in Miami was very smooth and quick. The boarding process was done by letters and was very without issues. Onboard I was impressed with the cleanliness of the aircraft and how new it was (no more than 3-5 years old). The Audio-Video Entertainment system was amazing and I would say probably the best I've ever seen with new movies, old movies, blockbusters, etc. The food and beverage selection was great. The kids received goodie bags and everyone received sleepers, toothpaste/toothbrush and sleep mask. The flight attendants were very attentive and smiling. The second leg, IST-OTP was great as well. Flight was operated with an A330-200 which I found odd for such a short leg. Very clean plane, relatively new and same great entertainment system. Flight time was 45 minutes but food was served as well. Return flights were great as well. OTP-IST flown on a B737-700 which did not have personal video screens but food was served and service was great. IST-MIA flown on the same B777-300ER and same great, attentive service. Turkish are still allowing two free checked bags for economy passengers. I would say Turkish service is on par or even slightly better than Lufthansa but at a much better price. WI-FI is available for a price but didn't use it. Charging ports present for each seat. Will definitely fly again.",Promoter
"Chicago to Sarajevo via Istanbul. The customer service is beyond horrible. Changing the date of the flight due to father's unexpected passing was a nightmare. The fee to change the flight was over $1,000. A new ticket would have been $1,400. I had to speak to several different agents. Only one expressed her condolences. The rest sounded like robots who barely spoke English and complained that there was nothing they could do. Twice the line was disconnected and I had to start all over with the new agent.",Detractor
" Chicago to Istanbul. Fantastic flights (esp. food!) - this time they did not lose our luggage for a week so it was even better. We spent a week in Istanbul and also took some TK domestic flights that went very smoothly (and they still serve tomato and cheese sandwiches on fresh bread, even on short flights) very helpful ground staff at IST domestic terminal to assist with checkin and bag drop and the lounge at IST is great.",Promoter
"Istanbul to Pristina. I chose an aisle seat 14C while purchasing my ticket. On Online Check-in the page confirmed my seat selection however on the very next page was forcing me to select a different seat. Only the seats at the back of the aircraft were available. Literally, I have been bumped out of my seat by someone at Turkish Airlines. I called their contact center and talked for an hour. They said they are going to fix this error and get back to me in an hour. Nobody called for 6h so I called them back but this time the person on the other side of the phone said that there is nothing he could do other than transferring me to their complaints department. Typical TK and their miserable customer services. Now, this department simply does not exists in Turkish Airlines. There is no single person in the entire world whose case was solved by this department. I am sick of everytime getting their standard answer back like â€œOperational Reasons"". Turkish Airlines is a monopoly with no passenger rights at all. It's been 2 days by now and nobody called back and no emails sent with the subject. They are way behind the other airlines on helping their customers.",Detractor
"  Seychelles to Dublin via Istanbul. Overall good experience. Was given row with bassinet seat as traveled with infant. Even though the customer service wasn't very helpful giving us these seats, and even an explanation why, we were given them at the airport. Great service on board. Staff very friendly and food very tasty. All four flights we flew with Turkish Airlines were on time and one even ready to take off few minutes before.",Promoter
"Istanbul to Bangkok. Chaotic Boarding at Ataturk Airport. The boarding pass showed a boarding group but everyone was boarding at the same time/no group boarding handled by TK ground staff. Flight 100% full with first generation of Boeing 777-300ER cabin a bit of age but with 3-3-3 seating in Y class, seat 48 cm. wide and very comfortable with good leg room. Cabin crew very organized and professional., they ran the first service aperitif with peanut and drinks and handed over the meal menu to passengers follow by the tasty late supper (2 choice) service. Meal was tasty with full choice of drinks incl. wine beer and other alcoholic beverage. After meal service before turn off the lighting cabin crews provided 1 bottle of water to every passenger. Older IFE on this flight with less choices of games and movies which unfortunately not translated in exotic languages. During the night flight cabin crew came with drinks or ice cream. 2 Hours before landing we were woken up with tasty breakfast and warm rolls and croissant. All in all no negative claim - TK offers top Y class product. I was very satisfied and had a beautiful trip HAM-IST-BKK on TK. Attractive price, flight on time, cabin crew very attentive and excellent inflight service.",Promoter
"Mogadishu to Amsterdam via Istanbul./ I flew several times with THY, mostly because of their connections in Middle East and Africa. I hardly experienced planes on time, but delays were acceptable. Therefore I had never before to deal with their customer service. And that one is horrible, as I experienced. THY is not an Eurepean Airline, and therefore they do not have to commit to the European regulation with regard to delays. Although they state on their website passenger rights, which are almost a copy-paste of these regulations, they seems to be there to give you the impression that they take this seriously. My flight has delay due to an incoming aircraft which was late, and I missed my connecting flight. I had to stay over in Istanbul and needed to acquire a visa. Sounds easy. The delay is over three hours and they will reimburse the delay and the cost for the visa. In practice it is not easy to contact them, but finally I managed to get a customer service ticket. After 10 days a lot of regrets and a calculation that it was not their fault. They managed the calculation in such a way that the cause of the delay was only one minute less then the reimbursement threshold. Obviously the calculation was manipulated. For visa cost they advised to issue a new ticket with prove of cost made. I issued that request and asked for underlying documentation to support their calculation. After a while THY sent a voucher for the cost and did not respond on the question of proof. The voucher can be used only at the nearest sales office, and is valid for one year. Not surprisingly the link provided didn't work. The voucher can only be used by me. It is not likely I will fly with THY again, and therefore the voucher is worthless. If you can opt for another European Airline instead of THY, please do so.",Detractor
" Boston to Cairo via Istanbul. Istanbul is airport hell - the rudest and disinterested airport personnel I have ever encountered. No one likes to help people there - they either walk away from you, snap at you or point. Food onboard was good, seats tight, and staffs smiles hide the fact that they have no interest in making anyone comfortable. Staff at the gate are equally disinterested. This is twice in two months that my family has flown Turkish Airlines from Boston and both times luggage went missing, nightmare non existent help or service. Filed a claim that we fully expect no one to respond to without getting high blood pressure.",Detractor
"Istanbul to Geneva. I chose an aisle seat in front of economy and at the gate find I have been bumped to a middle seat at the back. You pay for a wide legroom aisle seat and upon boarding find that you are in a standard seat. I am sick of filing complaints and getting their standard answerback : ""operational reasons"". A couple of months ago I was on an A330 where by luck I got my wide legroom seat but 5 passengers at the back who had also paid for wide legroom seats did not. THY has yet to discover passenger rights.",Detractor
"Prague to Tbilisi via Istanbul, returning from Baku. I was a bit worried because I had to transfer in Istanbul from IST to SAW but it worked perfectly. 90 min after landing I was at the other airport. However, it was Sunday afternoon, so there was less traffic than during the week. Only two minuses were baggage delivery at IST - the monitors are not updated regularly or are too small for such a big number of arrivals so our baggage was already out and we still did not see information about the belt and the staff at the SAW airport. I had the feeling that there we were punished for flying with Turkish as the airport is hub for the competition airline. Boarding was not even announced properly, just somebody shouted. On the return flight stop over in IST was very pleasant with smooth security control. In flight service great, friendly staff, good food. The only minus is big difference in equipment. I changed 4 planes. 2 were without IFE, one with old one and one with new one. So you never really know what is waiting for you.",Promoter
"I flew with Turkish airlines to Jordan in April 2018. My luggage never arrived and when I rang they kept saying they couldn't find it. On the 6th day of my 7 day holiday I decided to go to the airport myself and search the unclaimed baggage. My suitcase was there with my name and contact details on it. Turkish Airlines are taking no responsibility for the fact I had none of my clothes or belongings for my entire holiday. It's over a month on and Turkish Airlines customer service had been shockingly poor. The airline is awful, I would avoid! The plane itself was of poor quality. My tray table was broken with bits of plastic sticking out on the seat in front which caught and cut my leg. Food quality poor. Overall terrible, especially as they claim to be â€˜Europe's best airline'.",Detractor
"Hamburg to Istanbul. New A321 with new cabins, separated C and Y class, bright and airy, new seats with excellence IFE with WIFI on board. Flight 100% full but seating comfortable. Cabin crew polite and professional. After on time departure crews handed out the menu. TK served on 3.10 hours flight full tasty dinner with 2 choices with full drinks including wine and beer. They offer excellent IFE on this 3.10 hrs. flight with full choices of games and latest movies.All in all a very pleasant flight on time flight and top on board service.",Promoter
"New York to Istanbul. Worst experience yet flying ever. The flight was delayed 3 hours and when asked about connecting flight the staff could give no information, said just to wait and maybe we would still make the connecting flight. When we missed the flight then someone would help us. When I called the online service the staff was extremely unhelpful and refused to find a manager for me, when I called back she said she was referring me to customer service but really just left me on hold for 10 minutes until I hung up. Horrendous, tickets may be cheap but reflects the service and reliability",Detractor
" Rome to Tel Aviv via Istanbul. Very clean aircraft, cabin crew professional and friendly. Meal provided was exceptional and I have meals in first class on other airlines that do not come close to this quality. Very impressed! Flights on time and arrived on time. Pleasant experience all around!.",Promoter
"Houston to Munich via Istanbul. Do not fly with Turkish Airlines, especially if you fly coach. The online booking system failed repeatedly from the day I booked three seats from Houston to Germany via Istanbul. I booked 8 months in advance. The flight times changed three times, no more than 10 minutes on any leg. I learned that if you have reserved seats and don't call the airline to say you agree with the changes, your seats are not reserved anymore. I was able to reserve three bulkhead seats for the 12 hour leg, but found that our seats were given to a family with a baby and we were moved to the row behind them, which would have been fine except that my son, who is 5'11"" tall could not sit with his knees facing forward because the seats were too close together. When the seats were in the recline position, my daughter who is 5'4"" tall, could not put her legs in the forward position! On our return trip, I tried for two days to reserve and pay over $210 for exit row seats and the Turkish Airlines web site could not process the payment. I tried this option using the iphone app and got farther along in the process, but it ultimately failed, as well. Each time the process failed, I would log out, then log back in and my account would show that our seats were reserved, but not I did not receive a confirmation and there were no pending charges on my credit card. After a few hours I finally decided to call the Turkish Airlines desk in Houston, but because of the time difference, it was closed on Sunday and would be closed on Memorial Day Monday. I then called the Turkish Airlines phone number, +90 212 444 08 492, and the customer service rep stated that two of the seats in exit row were reserved, but were not paid for and she suggested I pay for them online. I explained I was unable to pay for them online and wanted to pay for them through her. She explained that in order for her to do that, she would have to release the seats and they might get reserved by someone else. Since that was the only way I could pay for the seats, I approved releasing the seats - and within seconds the representative said the seats were gone. She did rebook us in three seats together, but the thought of sitting in those horribly cramped seats is something all three of us are I gave a 1 point overall rating because this page required a rating. Otherwise, I would have not have given any points!",Detractor
"Pisa to Istanbul. Turkish Airlines cancelled flight without even informing me. They offered full refund. That would have only costed me double the money, given the fact I did not want to be more late. I went to Pisa airport to get my tickets only to find out that I am not in the system even after changed information of my schedule. The staff took 4 hours to figure out this issue. They don't know how to do their job. Crew members would forget the last people on the seats and not serve coffee to us. I recommend not to use Turkish Airlines.",Detractor
"Chicago to Cape Town via Istanbul. Turkish Airlines counters at O'Hare opened well in advance of the flight, which is great for someone like me--who likes to get checked in and through security early and then enjoy a meal or a couple of drinks. The seats were relatively comfortable, and the in-flight entertainment system kept me occupied. The food was good and came regularly, together with a full drinks cart. The service was professional and friendly. We received a complimentary amenities kit on each leg.",Promoter
"Chicago to Zagreb via Istanbul. Turkish Airlines' service out of O'Hare has become better now that it uses Boeing 777. There was more room than before. The check-in process, amenities kit, in-flight service, food, drinks, and entertainment system were all solid. There were more lavatories, and nicer headphones were provided. My connections to and from Zagreb were on an Airbus, which was more than adequate for the shorter flights. The in-flight service was excellent. Given the low fares that Turkish has been offering recently, the value has been very high.",Promoter
I was traveling from Mumbai to Djibouti via Istanbul. I reached Istanbul 10.45 am. My next flight to Djibouti was 10.40 pm. So it was like 12 hours I was there in Ataturk Airport. I had been there on the desk of Turkish Airlines for Food and Rest room they said system is not working come after 1 hour i had been there after an hour again they said come back after an hour. I requested them at least dont provide me food but i need rest room they said not possible. I requested them again and again they was keep saying system is not working we cant help you. There was like 15-20 people with me. But the behavior of Turkish Airlines staff was rude. Then after few hours I went again then I requested them for food they said you can go to Restaurant and buy. I told them this is not the way to reply.,Detractor
"I was travelling from Antalya to Istanbul on 9th May 2108 Scheduled at 16:50 which was delayed till 18:20 take off, and had a connecting flight at 20:15 to London as our final destination. We had 1 hour and 45 mins delay from Antalya to Istanbul causing us to miss our connecting flight to London. We had not missed the flight completely but as we got to the gate the airport security said they cannot let us board the plane as Turkish Airlines have stop anyone from boarding 15 mins prior to take off. I spoke to the management in Antalya in regards to a possibility of missing our connection flight at the rate the delay was going. The staff was so calm and collective to say its all fine, you will be on the flight without issue. Bear in mind, hardly any of Turkish airlines staff on ground level can speak fluent English!. I wasn't to assured by his statement. No one in the Airport was helpful and wished to direct or instruct us in what can be done etc. These guys have no customer service or communication skills whatsoever. Just for a few mins of lack of management caused me and my family to wait another 12 hours for the next flight with no consideration about children at all. We was sent to hotel very late to get 2 hours rest with no food or drink and to top it off no luggage with us. Turkish airlines also lost my baby stroller which did not come out of with our baggage so I have had to fill out a form which mentioned someone will be in touch in 24-48 hours and no calls whatsoever and its been 6 days.",Detractor
"On a recent â€˜round-trip' experience, Denpasar - Budapest, I found myself in multiple disappointing (borderline traumatic) situations with Turkish Airlines. When checking in on my return flight in Budapest in May, 2018, I was told that my return ticket had been cancelled. As a result, I was forced to pay an additional $1,600 to purchase a new one-way ticket on the same flight. Below is a description of what had happened. In April, on the third leg of my flight from Denpasar to Budapest, I missed the flight in Istanbul due to confusion at the gate - poor communication and gate location (ie. heavy traffic surrounding this specific gate, the sitting area hosted multiple flights, unclear instructions and lack of announcements, etc). I had been sitting at the gate for an hour when they started boarding, but was only alerted when priority boarding started --- no more announcements or callouts were made thereafter. When the line began to peter out I started to get a bit concerned, but because there were still so many people sitting around me, which I had presumed they were waiting for the same plane, and no final announcements or staff had called out, I didn't move forward. However, at that time I did ask the people around me what flight they were waiting for, but they just shook their heads and said they did not speak English. At this point I was growing quite concerned and so I ran to the closest Turkish Airlines staff I could find, at a nearby counter. When I showed him my ticket, he began shouting (actually) at me and said that the gate was now closed and I had to go downstairs to the transfers desk. This was only a minute or two after the gate had been closed. I ran downstairs, showed them my ticket and asked what could be done. They said that I had to purchase a new ticket - no alternative was given. To do so, they ordered me to purchase a visa and exit through customs. When outside, I first rushed to ticketing at Turkish Airlines where an employee stated that I had to purchase a new ticket, but that he could not do anything for me and to go see the Turkish Airlines check-in desk. I then proceeded to the check-in desk at Turkish Airlines and they said that I had to purchase a new ticket. At no time I was told that this would render my return flight invalid, and no other information was given. I tried the help-phone for Turkish Airlines as well, but there was no dial tone and no-one was in the area to provide assistance. I finally had to purchase a one way ticket from Istanbul to Budapest for 200 Euros for a flight later that day. To add insult to injury, the Turkish Airlines staff was appalling - I was yelled at and belittled on numerous occasions. I've read other reviews and some have said that Turkish Airlines employees are inhumane, and to be honest, I agree - note: this is specific to the Istanbul Airport staff. My original ticket was over $1,400, and this whole ordeal has cost me an additional $2000. I reached out to Turkish Airlines and although they responded in a timely fashion, they were unhelpful and clearly had not read my story. Furthermore, the avenue of communication they use - feedback forms only, make it very difficult to communicate with them. I suppose that is what they want!",Detractor
Our flight TK0775 Muscat to Istanbul was delayed about 1h 10 minutes and we missed our connected flight to Brussels. We were transferred to the next flight to Brussels TK1943 from 12:45 but due to mechanical problems only leaved Istanbul around 16:00. Our complain was answered by thy customer service within one week apologising for the inconvenience and offering a fair financial compensation. Refund has been done by Brussels sales department correctly. Delays are uncomfortable but probably inevitable with the crowded airspace and we can only appreciate the understanding and correct way our claim was handled.,Promoter
"Amsterdam to Seoul via Istanbul. I'm a Turkish Airlines Elite Plus (Platinum) member for the past 5 years. Turkish Airlines used to be great compared to most airlines with great service and amazing food. Unfortunately things have changed for the worse and in the past year or two their level has dropped down quite dramatically and I am now starting to look to change and stop flying with Turkish Airlines. Business class food used to be amazing, it used to rival Qatar Airways and some first class food in other airlines. Food level has dropped to the ground and is average minus compared to many other airlines. I have spoken to quite a few cabin chiefs and they all confirm that many passengers are complaining about the deterioration in their business class food and that management is aware of this problem. Quite sad. Business class seats are relatively aged compared to the better airlines. While other airlines have moved forward, Turkish has stayed behind. There is no privacy, and the configuration is an outdated 2-3-2 (B777) - I assume this won't be changing as it very expensive to change seat configuration. It seems like prices are constantly going up and while Turkish used to compete with the likes of Swiss or Lufthansa, prices these days are typically higher on Turkish Airlines. Service on board is mostly good with the onboard staff mostly very friendly and caring. Airplane age can be a hit or a miss with some very old and some reasonably new. In flight entertainment is typically pretty good.",Passive
"Boston to Toronto and then Toronto to Istanbul to Kathmandu, all booked as a single ticket via Turkish airlines. As soon as I arrived to my connecting flight with AQir Canada for check in, they told me I could not board the flight because I did not have a visa. I told them I did not intend to stay in Canada but just transit and usually the transit visa is given at the airport or online. However, the staff told me that as a Nepal citizen I could only get the visa if I go to the consulate in New York and do the necessary paperwork. Worried I decided to contact the Turkish airlines customer service. I called about 20 times with no avail. The call kept going to an automatic response. Really worried I decided to go to terminal E to meet the Turkish airlines staff in person. To my surprise, no one was there. I contacted the help desk and they told me that the Turkish airlines staff will be there only after 7 pm but my flight was to leave at 5 pm. Desperately looking for options, I went around the airport talking to every staff I came across, explaining my situation and they all told me only the (non-existent) Turkish staff could help me. Fast forward to 7 pm, (already forced to meet miss my actual flight) I finally meet the ticketing staff of Turkish airlines. I explained her my situation and tell her how I am a student planning to go home and I have already brought a connecting domestic flight back in Nepal to go from Kathmandu to home and that if I did not make this flight I would lose that ticket too. Then all she does is to tell me that I should have known that Canada requires a visa and that it is my fault. Stunned at her response, I tried to reason with her about how it is unreasonable to expect the customer to know this beforehand and that it is the airlines responsibility to let the customer know of such peculiar cases. After discussing for several minutes, she tells me that there is another flight leaving directly from Boston to Istanbul and that there is only one seat left and it will cost me USD 691 to transfer to this flight. Also she told me that if I had called the customer service immediately after this happened and changed the flight, I would not have had to pay the fine. (which is odd because my customer service call was never answered). I felt betrayed and sad at how the people who are supposed to help you make your life miserable. Although the hospitality of the staff in the plane was good, I felt deeply unsatisfied because of what I had to go through. This is easily the worst travel experience of my life yet.",Detractor
"The ground staff were very nice and polite. However, the flight was slightly delayed and for 35 wheelchair passengers there were only 5 people to push them, slowing the boarding process even more at Pearson. The lines were chaos during boarding at Pearson. People did not even stay in systematic lines and they were just ""hogging"" to board like a crowd and the ground staff didn't do anything about it. But thankfully they could announce star alliance gold and business passengers first. At least I could get a lot of space to put my bag. The inflight service was excellent. Excellent selection of movies for a 10 hour flight to Istanbul, delicious and well-presented food, clean bathrooms and prompt staff. When my inflight entertainment system froze during the flight, a flight crew promptly responded and fixed it. Same with when I asked for tea mid-flight. However, the wifi was really bad, it didn't work at all. The cabin crew were very friendly. The same applies with the connecting inflight service till Mumbai. However, the boarding was a lot better at Istanbul, as we could thankfully board from the aerobridge than the bus. Overall, I enjoyed the experience on Turkish Airlines and would love to fly with them again.",Promoter
"Istanbul to Athens. Overall flight was great. Most of staff was friendly. Bought tickets 6 months in advance so not happy that seats were changed to accommodate another family, therefore I wasn't able to sit with my family. Not happy at all. Therefore my rating would be very low.",Detractor
"Dusseldorf to Mumbai via Istanbul. Turkish Airlines used to be a premium airline for economy passengers. However, over the years they have just become horrible. I was flying from Dusseldorf to Mumbai, they cancelled the first leg of my ticket from Dusseldorf to Istanbul without my consent or without informing me. I spent 9 hours and heaven knows how much money in calling up their customer service before the day of the journey in getting this sorted and getting the ticket re-issued. The in-flight services were very poor, poor in-flight entertainment, cabin crew was rude and food was awful (on one of my 4 flights they served only meal which was non-veg and insisted that one has to pre-book ""special meals""). Any international flight has and should have at least two choices of meals - veg and non-veg. I am surprised how fast this airline has deteriorated after being a great one for a few years. Never again. Beware folks.",Detractor
 Istanbul to Podgorica. Both flights were on time. Smooth check in. New aiircraft and very clean. Staff friendly enough and even for the short distance we had drink and food. Nothing to complain.,Promoter
"Los Angeles to Tehran via Istanbul. Unfortunately this airline is getting worse and worse by the day. They used to be good in service and food. They served us cold and tasteless food although they have 1-2 chefs walking around. Their seats are narrow, cramped and very uncomfortable. If the passenger in front of you recline his/her seat, you can't use the tray in front of you. The space is too cramped. The bathrooms are filthy after a few hours and it is not really the flight attendants job to clean the bathrooms while serving the food with the same gloves. The flights from Istanbul to Tehran in both directions were terrible. The flight attendants were condescending to the fellow passengers. It wasn't just this trip. It is also the only airline flying to US has the longest immigration checkpoints before boarding the plane. 3 people checks your passport and 1 checks your carry-on. Everyone gets checked.",Detractor
Istanbul to Lisbon. My family and I arrived 3 hours before the flight in order to check in and deliver our luggage. The assistant at the desk told us we couldn't get seats and his only explanation was â€˜this flight is horrible' and refused to give any further explanation. He gave us â€˜standby' boarding passes. At the boarding gate we were put aside and made wait for everyone else to get on board. There were 7 people in our situation and among them a pregnant lady that was treated with absolutely no respect! Since there was no one giving up the flight we had to stay and fly on the next day because we were sold tickets that didn't exist. We had bought this reservation for more than a month before the flight and suddenly they tell us there is no place for us? A Company has to make sure everyone is seated and flies at the time and date they reserved. Overbooking generates a lot of serious consequences.,Detractor
"Istanbul to Los Angeles. We booked a window seat on exit row and paid the premium for the reservation. At the time of checking, I was told that the reservation could not be found. I showed them a copy of my itinerary with the assigned seat however all I could hear was that they couldn't help me. They end up giving me a middle seat, very narrow cramped seat between two athletic gentlemen that I could not move for 14 hours. I have been taking Turkish Airlines with many years and I found out that their level of service, food and customer service is getting worse and worse over the years. I promised myself never fly with Turkish airlines again.",Detractor
"Singapore to Dusseldorf via Istanbul. I fly to Asia on business 5-6 times a year and Turkish Airlines has always been my preferred airline. Until I got stuck for two days at IST airport during the military coup 2 years ago. But that's a different story altogether. I now tried Turkish Airlines again on a business trip to Singapore and could not believe how much the airline has changed to the worse. The planes on all 4 legs return was old and worn (don't know the type), old and smelly blankets, the food was by far not what it used to be, uncomfortable seats, totally unorganized transit lanes through customs, which nearly caused me to miss the onward flight. Staff was nice and friendly though. Unfortunately, I have already booked another business trip to Shanghai in July, but this will be the last one with Turkish Airlines. Back to Emirates again, which are way better in every criteria and not much more expensive.",Passive
 We keep hearing good reports of Turkish Airlines from our friends. Was it up to expectations? Flew London Heathrow to Istanbul Airport and return: The flights departed on time and arrived on time. There was good hot food on the flight served by helpful and warm staff. The inflight entertainment was adequate and it showed a good promotional tourist video of Turkey. We had a good experience with Turkish Airlines - Highly recommended.,Promoter
"DÃ¼sseldorf to Kathmandu via Istanbul. Poor service, big problems checking in two properly packaged bikes, properly weighed, and we had a confirmation. Got sent from desk to desk with disinformation. Almost missed our flight. Never flying Turkish again. Had to pay extra for something already paid for, we where at the airport plus 2 hours in advance and still almost missed the flight.",Detractor
"I recently flew Turkish Airlines (to/from South Africa via Istanbul), and upon boarding my return flight Johannesburg to Houston via Istanbul and due to their gate security not recognizing my paperwork, I was denied entry onto my flight. Okay, so besides legalities as far as letting me on board even though USCIS confirmed my correct paperwork and Turkish Airlines refused to let me speak to a supervisor. I was treated horrifically, both by their ground staff and corporate office. No one knew who the hell to speak to as far as how their own offices, gates, officers etc worked. I was told I would be taken to the Turkish Airlines Lounge where I would have a computer and phone I could use and gather my thoughts and help, no. I was taken from one gate to the next for several hours, then taken in by security and held there for the next several hours. I was then told I had to go to the denied office and I would be assisted there, to which no assistance was available. They literally said when I asked if they knew who I could contact, â€œthere is a phone and computer, google your help.â€ I arrived at 5am, and left the airport that evening at 10:45pm after no help from Turkish Airlines. When I asked instead of being held here in Turkey if they would fly me back to South Africa they said no. I tried to ask about booking a flight to Germany where my other citizenship is, and they told me they would not let me because my end destination was in the United States. I then worked on trying to get accommodation close by, after being in the airport for a day and half, coffee shop for a day/night as I had no where to go and then finally find accommodation. Finally when gathering my paperwork, Turkish airlines then refused to even honor the ticket they denied me entrance on, so I had to find an extra $600, post $575 I had paid to get an interview with the Embassy, and accommodation costs, as a part-time student, they simply emailed me with the audacity of speaking to me like an incompetent person. I am sorry Turkish Airlines, even though the flight experience was decent, with edible food, drink and entertainment, the manner in which you treated me is beyond appalling.",Detractor
 Pristina to Islamabad via Istanbul. Worst experience ever with the ground staff. They are rude. And have no desire to help out. I arrived and asked for a meal voucher. To which the lady said. No working. Come later. I asked why and how much later. And she started to show irritation and anger. So I asked her why she was raising her voice. And she said. I get angry at you because you don't understand. This electricity issue and not personal. I even asked why they don't have a manual process for this. And she told me to go away!,Detractor
"Dubai to Hanover via Istanbul. I had a very short connection to begin with (70 minutes). When we reached Istanbul, the plane taxied away and a bus brought us to the terminal. Entrance to terminal was jam packed with passengers from other flights. It took us 20 minutes to make us inside the terminal. Next the international transfer security check was overwhelmed with passengers. I tried talking to the staff to let me go first but they said stay where you are in the lane - all passengers say that same things to go first. As a result I missed my connection. I went to the transfer desk for Turkish Airline. The lady said he will get me fixed on the next flight that leaves in three hours. She said I should wait while she gets a new boarding pass. I waited and waited. Followed up 5 times. Each time I was told not to worry and its being done. After 3 hours - a gentleman from Turkish Airways told me that it was my fault that I missed the connection. 1 hour was more than enough to get the connection. I explained to him the reasons but he said still fault is mine! I asked him if this is what the case is than why I was made to wait for 3 hours? He had no answer to that and stopped talking to me. he said he can give me next day flight and refused to answer me further. He refused to pay for my visa and hotel as well.",Detractor
" New York JFK to Istanbul. This is the first and last time I will ever book with this airline! Ever! Flight has been delayed twice now. The weather is beautiful out, the plane is at the gate, so it's safe to assume it's due to a scheduling (administrative) issues. No excuse! If I miss my connecting flight, then this review is only the beginning of my complaints!",Detractor
"Istanbul to Sarajevo. My family and myself are having the worst possible nightmare in the Istanbul Airport. We were delayed on boarding by two unprofessional Turkish Airlines staff member who without even telling us, requested our bags to be thrown out of our airplane. When we saw that, we started asking questions and were simply told that we will be flying later - no reason explained or apology given. As a reward for our trust in them we are just completing our 24 hours stay at the Istambul Airport asking ourselves why we where prevented from taking the flight.",Detractor
" Kayseri to Istanbul. Flown with this airline twice this month and both experiences were very good. The boarding was very organized and the plane left on time. The seats were spacious and comfy. The best part is definitely the food service, even for a short flight we were provided with a sandwich and drink for free. One of my favourite airlines.",Promoter
